id;Название;Кол-во фото;Файлы (через |);Оригинальные URL (через |)
170260417312;Shine Systems Black Wool Pad - полировальный круг из черного меха, 130 мм;3;images/170260417312_1.jpg|images/170260417312_2.jpg|images/170260417312_3.jpg;https://static.tildacdn.com/stor3337-3330-4036-a363-313735393562/87132827.jpg|https://static.tildacdn.com/stor3736-3762-4063-b337-353230303065/18228374.jpg|https://static.tildacdn.com/stor3162-6531-4630-b339-626365346533/39649644.jpg
144958760652;Shine Systems Black Wool Pad - полировальный круг из черного меха, 155 мм;2;images/144958760652_1.jpg|images/144958760652_2.jpg;https://static.tildacdn.com/stor3932-6230-4134-b238-643866333966/38012180.jpg|https://static.tildacdn.com/stor6636-6237-4864-a633-303264363036/27100118.jpg
504681318272;Shine Systems Black Wool Pad - полировальный круг из черного меха, 75 мм;2;images/504681318272_1.jpg|images/504681318272_2.jpg;https://static.tildacdn.com/stor3735-3338-4164-a466-353733613638/56892101.jpg|https://static.tildacdn.com/stor3939-3833-4934-a135-396135643037/37143744.jpg
663661832392;Shine Systems Cool Wool Pad - гибридный стриженый мех с терморегулирующим слоем, 130 мм;3;images/663661832392_1.jpg|images/663661832392_2.jpg|images/663661832392_3.jpg;https://static.tildacdn.com/stor6162-6565-4530-b836-613735343437/14532902.jpg|https://static.tildacdn.com/stor3734-6438-4233-b438-646439363262/55430215.jpg|https://static.tildacdn.com/stor3765-3466-4935-b437-353365626562/38725919.jpg
705051238172;Shine Systems Cotton Wool Pad - полировальный круг мех с хлопком 130 мм;1;images/705051238172_1.jpg;https://static.tildacdn.com/stor3662-3733-4130-b039-636464386561/36170278.jpg
393964920772;Shine Systems Cotton Wool Pad - полировальный круг мех с хлопком 155 мм;1;images/393964920772_1.jpg;https://static.tildacdn.com/stor3261-6430-4434-a532-373861383563/44760615.jpg
289308136082;Shine Systems Cotton Wool Pad - полировальный круг мех с хлопком 75 мм;1;images/289308136082_1.jpg;https://static.tildacdn.com/stor6566-6437-4333-b734-393931373365/95660599.jpg
904281416162;Shine Systems DA Foam Pad Black - полировальный круг ультрамягкий черный, 130 мм;2;images/904281416162_1.jpg|images/904281416162_2.jpg;https://static.tildacdn.com/stor6437-6165-4665-b131-303034353136/46675245.jpg|https://static.tildacdn.com/stor3937-3739-4662-a163-313466326637/12714984.jpg
739232337782;Shine Systems DA Foam Pad Black - полировальный круг ультрамягкий черный, 155 мм;2;images/739232337782_1.jpg|images/739232337782_2.jpg;https://static.tildacdn.com/stor3531-6137-4530-a161-396530353562/94882797.jpg|https://static.tildacdn.com/stor3762-3066-4138-b432-383937616662/75892013.jpg
715022985262;Shine Systems DA Foam Pad Green - полировальный круг экстра твердый зеленый, 130 мм;2;images/715022985262_1.jpg|images/715022985262_2.jpg;https://static.tildacdn.com/stor3162-3535-4935-b135-643738303334/91445204.jpg|https://static.tildacdn.com/stor3239-3433-4333-a138-306264383066/89500297.jpg
541363830352;Shine Systems DA Foam Pad Green - полировальный круг экстра твердый зеленый, 155 мм;2;images/541363830352_1.jpg|images/541363830352_2.jpg;https://static.tildacdn.com/stor3035-3933-4337-b137-646662393962/26183345.jpg|https://static.tildacdn.com/stor6565-3936-4962-b435-333637373231/80041022.jpg
573161792452;Shine Systems DA Foam Pad Green - полировальный круг экстра твердый зеленый, 75 мм;2;images/573161792452_1.jpg|images/573161792452_2.jpg;https://static.tildacdn.com/stor3838-6133-4635-b763-306635383031/80437675.jpg|https://static.tildacdn.com/stor3463-3331-4237-b439-626539643838/43755303.jpg
